318,美乐（MEILE）
319,科飞（COFLY）
320,喜力（XIL）
321,FRILEC
322,phrlipu
323,好易点（Hooeasy）
324,奇帅
325,冰熊（BING XIONG）
326,富士山
327,小咖（small potato）
328,迷你宝贝（MINIBABY）
329,乐众星（LEZONZX）
330,AEG
331,速比坤（Speed Queen）
334,KWSK
335,艾维莱（Ivlai）
336,达米尼（Damiele）
338,格林柯尔（CLEANCALL）
339,微狼（WEIWOLF）
340,多方达（TOFIND)
341,上菱
343,安达尔（Andaer）
344,日普（RIPU）
345,宾维（BENWIN）
346,海宝（haibao）
348,GRUNDIG
349,超迪
350,小鸭圣吉奥
351,小叮当（XIAODINGDANG）
353,海丫
354,先创（XIANCHUANG）
355,洁耐尔
357,YZJM
358,白领公社
359,天骥
360,云米（VIOMI）
361,晓姿（AXXZIA）
362,WMF
379,奥马（Homa）
384,晶弘（KINGHOME）
391,哈士奇
394,利勃海尔（liebherr）
399,星星（XINGX）
410,香雪海
411,音贝尔（Inbell）
413,东宝（DOBON）
414,音贝尔（inbell）
415,长城（GREAT WALL FRIDGE）
421,惠康（HICON）
422,北极熊（beijixiong）
426,尊贵（ZUNGUI）
428,浪木（LANGMU）
430,华意（HUAYI）
431,海浪（HAILANG）
433,远东时代
440,万爱（Wanai）
441,富信（Fuxin）
442,帅人（sazn）
444,HNBX
445,日樱（RIYING）
446,歌威特
447,Herrmann
451,沃科（WORKDOG）
452,优诺（EUNA）
453,雪村（Xuecun）
454,北极熊（BEIJIXIONG）
455,DIMCHAE
456,rosenstein&sohne
458,德努希（DENUSSI）
459,欧立
460,航天王子（HANG TIAN WANG ZI）
461,上工电器（SUNGO）
462,scandomestic
463,ELKS
464,風華
465,宝帕尼（Bompani）
466,蒂朵（Diduo）
467,新力（NEWLI）
468,容芝
471,钱江（QIANJIANG）
472,航天民生（HTminsheng）
473,欧帝诺（odino）
475,冰松（BINGSONG）
476,恺威尼尔森（K.V.Nilson）
477,索伊（OK）
478,奥达信（HOMESUN）
480,GAGGENAU
483,cucine
484,KINSO
485,慕雪（Muxue）
486,威王（weking）
487,德洛普
488,宝普（BAOPU）
489,BESTCO
491,普利斯特（PRIMST）
492,小米生活
493,立园
494,Elmex
495,地一（DE·GURU）
497,文塔（VENTA）
498,羽燕（yuyan）
